line,parent,turnlabel,Session,Condition,user,content,len,Offtask,Cheating,AT,Reas,Trans,Neg,Het
0,-1,str0,A,ns,Tutor,"Hi all! Today, each of you will be both the instructor and the student. Each of you will be responsible for looking for opportunities for a specific discussion strategy to be used in the conversation.",0,no,no,no,no,no,k1,m
1,0,str1,A,ns,Tutor,Lets get started by introducing ourselves. I am Alex.,0,no,no,no,no,no,a1,m
2,1,str2,A,ns,s001       ,i am {s001},0,no,no,no,no,no,k1,m
3,2,str3,A,ns,Tutor,"Hi {s001} you are the Revoicer. When an explanation or idea is given which would benefit from revoicing, please encourage one of your team mates to do so, for example, by asking them to explain what was said in their own words.",0,no,no,no,no,no,a2,he
4,3,str4,A,ns,Tutor,"{s005} you are the Challenger. When you see a statement being made (whether it is right or wrong) which would benefit from being challenged, please encourage one of your team mates to do so, for example, by asking them whether they agree or disagree with what was said, and why.",0,no,no,no,no,no,a2,he
5,4,str5,A,ns,Tutor,Its nice to meet you all. :) Please make sure you have understood what you are responsible for by looking over pages 7-9 in your book and remembering what role you have been assigned.,0,no,no,no,no,no,a2,he
6,5,str6,A,ns,Tutor,"In condition A, we placed a glucose solution inside the cell model and immerse it in distilled water. In condition B, we did the opposite.",0,no,no,no,no,no,k1,m
7,6,str7,A,ns,s001       ,Nice to meet u 2.,0,no,no,no,no,no,o,na
8,7,str8,A,ns,Tutor,Please discuss what you predict will happen in these two conditions.,0,no,no,no,no,no,a2,he
9,8,str9,A,ns,Tutor,"In condition C, we made a modification to condition A. We replace the glucose solution with a starch suspension. In order to detect the presence of starch, we replace the distilled water with Lugol's Iodine solution.",0,no,no,no,reas,ex,k1,m
10,9,str10,A,ns,Tutor,You should now move on to discussing what will happen in Condition C and your explanation for this change.,0,no,no,no,no,no,a2,he
11,10,str11,A,ns,Tutor,"When you are in agreement, write down your predictions and explanations for Conditions A, B and C on your worksheet.",0,no,no,no,no,no,a2,m
12,11,str12,A,ns,Tutor,"You are now going to watch a video showing the cell in Conditions A, B and C.",0,no,no,no,no,no,a2,m
