"","1","2","3","4","5"
"-.-",5.46771475546334e-84,2.57229926307964e-83,9.08648722066539e-85,1.49167752357468e-79,0.000591798975556793
"""absorb""",2.71380069174639e-43,2.17467998217521e-84,6.9503012539502e-94,0.000583364591086218,4.75839984275406e-94
"""c""",0.000581815744280436,4.63784434871715e-85,3.98881268758425e-86,1.97375683349559e-10,5.60680124075352e-88
"""combined",2.53325428581289e-87,1.32075339992161e-87,0.000565211927899311,5.67071425806849e-87,9.0523308489247e-89
"""osmosis""",0.000581815941132149,1.93109654325662e-87,5.82630183865307e-84,3.54783704426266e-85,6.68114082356206e-89
"""stach",0.000581815941132149,1.28188129050078e-89,7.29472984743136e-91,5.05202351602955e-21,1.09588926475052e-92
"""the",0.000581176223437762,1.21724853871525e-82,3.52523504739428e-82,6.41420464468381e-07,7.30289790423532e-84
"""water",0.000581815941132149,2.35928739309048e-98,1.50968965697446e-38,1.23048660062646e-19,8.63628621396674e-105
"""yes""",3.19609194856004e-89,5.00516530549134e-28,0.000565211927899311,8.30135883797684e-79,2.40079119729355e-93
"#'s",0.000581815941132149,6.82162029854587e-87,8.54368336383072e-85,8.20672529805876e-90,3.15286879561514e-91
"#1?",0.000581815940679442,5.41832852426066e-13,2.06876651015053e-75,1.83503549251844e-74,8.30980073901211e-75
"#11",9.68563918778869e-75,1.6227641140592e-75,0.000565211927899311,3.5064277213342e-75,2.04819210173461e-77
"#3,",1.36806711820066e-09,3.02825090980621e-74,6.0845385728769e-74,8.8325870934291e-71,0.000591797584015823
"(a)",2.87417595658369e-95,1.3585871798606e-20,5.10695413311907e-37,0.000583364591086218,4.12873977463759e-95
"(b)",1.47945588242371e-94,2.95945563836029e-20,3.25115453097908e-36,0.000583364591086218,3.62176711693269e-95
"(c)",2.48283182580461e-11,8.87621848145718e-79,0.000565211903779545,3.74447341486989e-78,4.99560112164807e-18
"(whether",7.6725273338718e-115,0.00974904108214918,1.02240667010514e-115,5.47188156985152e-114,2.27862097351735e-114
".525",1.3326656259213e-15,9.76214504526223e-76,3.92161146782215e-77,0.0011667291821711,2.42697550297461e-77
".540",0.00116363188226396,5.33783283287616e-19,1.17083123109931e-82,3.38625398667388e-16,3.31126926592979e-82
".60",6.74550748206174e-73,1.19598312946485e-11,0.000565211915786848,2.48231535096806e-12,2.09379076060789e-73
".620",0.000581815941132149,3.71913330325723e-28,1.4606317574733e-97,1.232930696924e-91,3.16377404484161e-96
".630",5.20886723016769e-80,7.51965452788804e-19,6.74074753404092e-81,0.000583364591086217,1.1953192723449e-81
".635",5.01935538944781e-83,8.28194239533042e-23,4.83821371208941e-84,0.00116672918217244,2.12471095088513e-85
".655",1.4441587930804e-81,3.23864289417993e-31,9.80153599780203e-84,0.00233345836434487,1.27854702923901e-84
".and",0.000581815941132149,8.02180579850479e-72,1.19394023304939e-72,7.38648304935487e-72,5.27538095036456e-73
".no",1.73257523874956e-80,5.51903042340407e-26,0.000565211927899311,2.5259034586869e-86,2.57729448180022e-87
":'(",1.21045548588349e-78,7.91873755227273e-78,6.57658573908166e-06,6.52839123834482e-79,0.000584913033291711
":-)",0.00847046208851815,1.09260972078726e-12,0.000249449058580369,6.17589527803409e-75,8.7186186078375e-74
"@s027,",7.12884596369347e-88,1.31362604615535e-88,1.19146065675915e-87,4.77409997967513e-88,0.00118359795111359
"{s001}",1.04728173981198e-74,0.00139272015459274,3.16111699101388e-76,1.24832900425069e-75,3.39662881007381e-76
"{s003}",3.89519377864286e-76,0.000696364069762359,6.85002994850298e-19,1.19338829671349e-75,0.00236719250924506
