,background,1,2,3,4
1,0.257142041,2.86E-06,2.86E-06,2.86E-06,0.742849388
2,0.111116049,1.11E-05,1.11E-05,0.888850619,1.11E-05
3,0.333311115,3.33E-05,3.33E-05,0.666588902,3.33E-05
4,0.333331746,2.38E-06,2.38E-06,0.666661111,2.38E-06
5,0.3399986,2.00E-06,2.00E-06,0.6599954,2.00E-06
6,0.705874914,0.11764827,2.94E-06,0.11764827,0.058825606
7,0.2399992,0.7599888,4.00E-06,4.00E-06,4.00E-06
8,0.399980002,0.599960004,2.00E-05,2.00E-05,2.00E-05
9,0.181819008,0.81815372,9.09E-06,9.09E-06,9.09E-06
10,0.194444522,0.805547145,2.78E-06,2.78E-06,2.78E-06
11,0.368416621,0.63156759,5.26E-06,5.26E-06,5.26E-06
12,0.24999875,0.74998625,5.00E-06,5.00E-06,5.00E-06
13,0.352936678,0.647045675,5.88E-06,5.88E-06,5.88E-06
14,0.333327778,0.666647223,8.33E-06,8.33E-06,8.33E-06
15,0.999973334,6.67E-06,6.67E-06,6.67E-06,6.67E-06
16,0.458327952,0.249998958,0.041669965,0.083335764,0.166667361
17,3.33E-05,3.33E-05,0.666588902,3.33E-05,0.333311115
18,0.399995,5.00E-06,0.59999,5.00E-06,5.00E-06
19,0.303028742,3.03E-06,0.696962167,3.03E-06,3.03E-06
20,0.999900012,2.50E-05,2.50E-05,2.50E-05,2.50E-05
21,0.374989063,1.25E-05,1.25E-05,1.25E-05,0.624973439
22,0.399980002,0.2,2.00E-05,0.2,0.2
23,0.249993751,0.499962505,2.50E-05,0.249993751,2.50E-05
24,0.749931259,0.249993751,2.50E-05,2.50E-05,2.50E-05
25,0.222221914,0.777769753,2.78E-06,2.78E-06,2.78E-06
26,0.421046815,0.578937396,5.26E-06,5.26E-06,5.26E-06
27,0.24999875,0.74998625,5.00E-06,5.00E-06,5.00E-06
28,0.571419728,0.428565987,4.76E-06,4.76E-06,4.76E-06
29,0.999866689,3.33E-05,3.33E-05,3.33E-05,3.33E-05
30,0.333322223,1.67E-05,0.333322223,0.166669444,0.166669444
31,0.999866689,3.33E-05,3.33E-05,3.33E-05,3.33E-05
32,0.499962505,0.249993751,2.50E-05,2.50E-05,0.249993751
33,0.749931259,0.249993751,2.50E-05,2.50E-05,2.50E-05
34,0.23529308,0.764689274,5.88E-06,5.88E-06,5.88E-06
35,0.499987501,0.499987501,8.33E-06,8.33E-06,8.33E-06
36,0.999973334,6.67E-06,6.67E-06,6.67E-06,6.67E-06
37,0.642841327,0.142859184,7.14E-06,7.14E-06,0.214285204
38,0.749965627,0.125004687,0.125004687,1.25E-05,1.25E-05
39,0.499925019,5.00E-05,0.499925019,5.00E-05,5.00E-05
40,0.499962505,2.50E-05,0.499962505,2.50E-05,2.50E-05
41,0.999920008,2.00E-05,2.00E-05,2.00E-05,2.00E-05
42,0.727248761,0.090914049,9.09E-06,0.090914049,0.090914049
43,0.888850619,0.111116049,1.11E-05,1.11E-05,1.11E-05
44,0.999900012,2.50E-05,2.50E-05,2.50E-05,2.50E-05
45,0.249996875,1.25E-05,1.25E-05,1.25E-05,0.749965627
46,0.99980005,5.00E-05,5.00E-05,5.00E-05,5.00E-05
47,0.64998875,0.05000375,5.00E-06,0.05000375,0.24999875
48,0.777745681,0.111116049,1.11E-05,0.111116049,1.11E-05
49,0.257142041,2.86E-06,2.86E-06,2.86E-06,0.742849388
50,0.111116049,1.11E-05,1.11E-05,0.888850619,1.11E-05
51,0.499962505,2.50E-05,2.50E-05,0.499962505,2.50E-05
52,0.222220988,1.11E-05,1.11E-05,0.777745681,1.11E-05
53,5.00E-05,5.00E-05,5.00E-05,0.99980005,5.00E-05
54,0.285713265,2.38E-06,2.38E-06,0.714279592,2.38E-06
55,0.2599994,2.00E-06,2.00E-06,0.7399946,2.00E-06
56,0.395831293,2.08E-06,2.08E-06,0.604162457,2.08E-06
57,0.941154672,5.88E-06,5.88E-06,0.058827682,5.88E-06
58,0.999900012,2.50E-05,2.50E-05,2.50E-05,2.50E-05
59,0.294116263,0.294116263,0.029414273,0.029414273,0.352938927
60,0.2,0.799988,4.00E-06,4.00E-06,4.00E-06
61,0.272723967,0.727248761,9.09E-06,9.09E-06,9.09E-06
62,0.454533885,0.545438844,9.09E-06,9.09E-06,9.09E-06
63,0.666647223,0.333327778,8.33E-06,8.33E-06,8.33E-06
64,0.444430865,0.555535804,1.11E-05,1.11E-05,1.11E-05
65,0.194444522,0.805547145,2.78E-06,2.78E-06,2.78E-06
66,0.368416621,0.63156759,5.26E-06,5.26E-06,5.26E-06
67,0.416657639,0.583317362,8.33E-06,8.33E-06,8.33E-06
68,0.666647223,0.333327778,8.33E-06,8.33E-06,8.33E-06
69,0.249993751,0.749931259,2.50E-05,2.50E-05,2.50E-05
70,0.24999875,0.74998625,5.00E-06,5.00E-06,5.00E-06
71,0.454533885,0.454533885,9.09E-06,9.09E-06,0.090914049
72,0.352936678,0.647045675,5.88E-06,5.88E-06,5.88E-06
73,0.249997917,0.749977084,8.33E-06,8.33E-06,8.33E-06
74,0.866644445,0.133335555,6.67E-06,6.67E-06,6.67E-06
75,0.999900012,2.50E-05,2.50E-05,2.50E-05,2.50E-05
76,0.499962505,0.499962505,2.50E-05,2.50E-05,2.50E-05
77,0.999920008,2.00E-05,2.00E-05,2.00E-05,2.00E-05
78,0.599960004,2.00E-05,2.00E-05,2.00E-05,0.399980002
79,0.799940006,2.00E-05,2.00E-05,0.2,2.00E-05
80,0.99980005,5.00E-05,5.00E-05,5.00E-05,5.00E-05
81,0.249993751,2.50E-05,0.499962505,2.50E-05,0.249993751
82,3.33E-05,3.33E-05,0.666588902,3.33E-05,0.333311115
83,0.399995,5.00E-06,0.59999,5.00E-06,5.00E-06
84,0.333331313,3.03E-06,0.666659596,3.03E-06,3.03E-06
85,0.999900012,2.50E-05,2.50E-05,2.50E-05,2.50E-05
86,0.249996875,1.25E-05,1.25E-05,1.25E-05,0.749965627
87,0.999900012,2.50E-05,2.50E-05,2.50E-05,2.50E-05
88,5.00E-05,0.499925019,0.499925019,5.00E-05,5.00E-05
89,0.454533885,0.363628926,0.181819008,9.09E-06,9.09E-06
90,0.999900012,2.50E-05,2.50E-05,2.50E-05,2.50E-05
91,0.499985001,0.100005,1.00E-05,0.2,0.2
92,0.749965627,1.25E-05,1.25E-05,0.249996875,1.25E-05
93,0.764689274,5.88E-06,0.058827682,0.17647128,5.88E-06
94,0.83328056,1.67E-05,0.166669444,1.67E-05,1.67E-05
95,0.999933339,1.67E-05,1.67E-05,1.67E-05,1.67E-05
96,0.99980005,5.00E-05,5.00E-05,5.00E-05,5.00E-05
97,5.00E-05,5.00E-05,0.499925019,5.00E-05,0.499925019
98,0.666588902,3.33E-05,0.333311115,3.33E-05,3.33E-05
99,0.285713061,2.86E-06,2.86E-06,2.86E-06,0.714278367
100,0.249993751,2.50E-05,2.50E-05,0.499962505,0.249993751
101,0.111116049,1.11E-05,1.11E-05,0.888850619,1.11E-05
102,0.238094785,2.38E-06,2.38E-06,0.761898073,2.38E-06
103,0.499962505,2.50E-05,2.50E-05,0.499962505,2.50E-05
104,0.2199998,2.00E-06,2.00E-06,0.7799942,2.00E-06
105,0.428555103,1.43E-05,1.43E-05,0.571402043,1.43E-05
106,0.374998177,2.08E-06,2.08E-06,0.624995573,2.08E-06
107,0.714248982,1.43E-05,1.43E-05,0.285708164,1.43E-05
108,0.999976471,5.88E-06,5.88E-06,5.88E-06,5.88E-06
109,0.499995588,0.11764827,0.029414273,0.058825606,0.294116263
110,0.499925019,0.499925019,5.00E-05,5.00E-05,5.00E-05
111,0.499962505,0.499962505,2.50E-05,2.50E-05,2.50E-05
112,0.2,0.799988,4.00E-06,4.00E-06,4.00E-06
113,5.00E-05,0.99980005,5.00E-05,5.00E-05,5.00E-05
114,0.272723967,0.727248761,9.09E-06,9.09E-06,9.09E-06
115,0.999920008,2.00E-05,2.00E-05,2.00E-05,2.00E-05
116,0.749931259,2.50E-05,2.50E-05,2.50E-05,0.249993751
117,0.799940006,2.00E-05,2.00E-05,2.00E-05,0.2
118,0.499925019,5.00E-05,5.00E-05,5.00E-05,0.499925019
119,0.999866689,3.33E-05,3.33E-05,3.33E-05,3.33E-05
120,0.733315556,6.67E-06,0.066671111,0.066671111,0.133335555
121,0.9996002,1.00E-04,1.00E-04,1.00E-04,1.00E-04
122,0.636343803,0.090914049,0.181819008,9.09E-06,0.090914049
