,background,1,2,3,4
i...what,2.31E-08,5.84E-08,1.27E-07,6.97E-08,0.001223941
mix,2.31E-08,5.84E-08,0.007622904,6.97E-08,1.22E-07
too!,0.000230591,5.84E-08,1.27E-07,6.97E-08,0.001223941
beat,0.000461159,5.84E-08,1.27E-07,6.97E-08,1.22E-07
starch,0.001152863,0.020430681,1.27E-07,6.97E-08,1.22E-07
{s040},0.002075135,5.84E-08,1.27E-07,6.97E-08,1.22E-07
instructor,2.31E-08,5.84E-08,1.27E-07,6.97E-08,0.01713358
strach,0.000230591,5.84E-08,1.27E-07,6.97E-08,1.22E-07
hint,0.000230591,5.84E-08,1.27E-07,6.97E-08,1.22E-07
did....but,0.000230591,5.84E-08,1.27E-07,6.97E-08,1.22E-07
haha..were,2.31E-08,0.00058379,1.27E-07,6.97E-08,1.22E-07
imma,2.31E-08,5.84E-08,0.00127059,6.97E-08,1.22E-07
everyone,2.31E-08,5.84E-08,1.27E-07,6.97E-08,0.007343033
weight,0.004841952,5.84E-08,1.27E-07,6.97E-08,1.22E-07
dear,0.000230591,5.84E-08,1.27E-07,6.97E-08,1.22E-07
he/she/it,0.000230591,5.84E-08,1.27E-07,6.97E-08,1.22E-07
answers,0.000461159,5.84E-08,1.27E-07,6.97E-08,1.22E-07
was,0.010836721,5.84E-08,0.00127059,0.019510705,1.22E-07
opposite.,2.31E-08,0.008172307,1.27E-07,6.97E-08,1.22E-07
ok,0.008761608,5.84E-08,1.27E-07,6.97E-08,1.22E-07
{s063},0.000922295,5.84E-08,1.27E-07,6.97E-08,1.22E-07
saturday,2.31E-08,5.84E-08,1.27E-07,6.97E-08,0.001223941
guys!,0.000230591,5.84E-08,0.00127059,6.97E-08,1.22E-07
lady,0.000461159,5.84E-08,1.27E-07,6.97E-08,1.22E-07
she[{s034},2.31E-08,0.00058379,1.27E-07,6.97E-08,1.22E-07
alright,0.000461159,5.84E-08,1.27E-07,6.97E-08,1.22E-07
happened,0.000230591,5.84E-08,0.017786607,6.97E-08,1.22E-07
35,2.31E-08,0.00058379,1.27E-07,6.97E-08,1.22E-07
challenger.,2.31E-08,5.84E-08,1.27E-07,0.009755387,1.22E-07
smartness,0.000230591,5.84E-08,1.27E-07,6.97E-08,1.22E-07
very,2.31E-08,0.00058379,1.27E-07,6.97E-08,1.22E-07
chart,2.31E-08,5.84E-08,1.27E-07,6.97E-08,0.001223941
little,2.31E-08,5.84E-08,0.00127059,6.97E-08,1.22E-07
s061,0.000922295,5.84E-08,1.27E-07,6.97E-08,1.22E-07
byee,0.000230591,5.84E-08,1.27E-07,6.97E-08,1.22E-07
statement,2.31E-08,5.84E-08,1.27E-07,0.009755387,1.22E-07
0.6,0.000230591,5.84E-08,1.27E-07,6.97E-08,1.22E-07
different,2.31E-08,5.84E-08,0.021597996,6.97E-08,1.22E-07
idk,0.002536271,5.84E-08,1.27E-07,6.97E-08,1.22E-07
condtion,0.000230591,5.84E-08,1.27E-07,6.97E-08,1.22E-07
kid,2.31E-08,5.84E-08,1.27E-07,0.000696878,1.22E-07
together,2.31E-08,5.84E-08,0.003811516,6.97E-08,1.22E-07
don't,0.000461159,5.84E-08,1.27E-07,6.97E-08,1.22E-07
gonna,0.001152863,5.84E-08,1.27E-07,6.97E-08,1.22E-07
noooo!!!,0.000230591,5.84E-08,1.27E-07,6.97E-08,1.22E-07
