,background,1,2,3,4
1,2.86E-06,0.999988572,2.86E-06,2.86E-06,2.86E-06
2,1.11E-05,1.11E-05,1.11E-05,0.999955558,1.11E-05
3,3.33E-05,0.999866689,3.33E-05,3.33E-05,3.33E-05
4,2.38E-06,2.38E-06,0.999990476,2.38E-06,2.38E-06
5,0.9599924,2.00E-06,0.0400016,2.00E-06,2.00E-06
6,2.94E-06,2.94E-06,2.94E-06,0.999988235,2.94E-06
7,4.00E-06,4.00E-06,4.00E-06,0.999984,4.00E-06
8,2.00E-05,0.999920008,2.00E-05,2.00E-05,2.00E-05
9,9.09E-06,0.999963638,9.09E-06,9.09E-06,9.09E-06
10,2.78E-06,2.78E-06,2.78E-06,2.78E-06,0.999988889
11,0.999978948,5.26E-06,5.26E-06,5.26E-06,5.26E-06
12,5.00E-06,5.00E-06,5.00E-06,0.999980001,5.00E-06
13,5.88E-06,5.88E-06,5.88E-06,0.999976471,5.88E-06
14,8.33E-06,8.33E-06,8.33E-06,0.999966668,8.33E-06
15,6.67E-06,6.67E-06,6.67E-06,6.67E-06,0.999973334
16,4.17E-06,0.999983334,4.17E-06,4.17E-06,4.17E-06
17,0.999866689,3.33E-05,3.33E-05,3.33E-05,3.33E-05
18,5.00E-06,5.00E-06,5.00E-06,0.999980001,5.00E-06
19,0.999987879,3.03E-06,3.03E-06,3.03E-06,3.03E-06
20,2.50E-05,2.50E-05,2.50E-05,0.999900012,2.50E-05
21,1.25E-05,0.999950003,1.25E-05,1.25E-05,1.25E-05
22,2.00E-05,0.999920008,2.00E-05,2.00E-05,2.00E-05
23,0.999900012,2.50E-05,2.50E-05,2.50E-05,2.50E-05
24,0.999900012,2.50E-05,2.50E-05,2.50E-05,2.50E-05
25,2.78E-06,2.78E-06,2.78E-06,2.78E-06,0.999988889
26,0.999978948,5.26E-06,5.26E-06,5.26E-06,5.26E-06
27,5.00E-06,5.00E-06,5.00E-06,0.999980001,5.00E-06
28,4.76E-06,0.999980953,4.76E-06,4.76E-06,4.76E-06
29,0.999866689,3.33E-05,3.33E-05,3.33E-05,3.33E-05
30,0.999933339,1.67E-05,1.67E-05,1.67E-05,1.67E-05
31,0.999866689,3.33E-05,3.33E-05,3.33E-05,3.33E-05
32,0.999900012,2.50E-05,2.50E-05,2.50E-05,2.50E-05
33,0.999900012,2.50E-05,2.50E-05,2.50E-05,2.50E-05
34,5.88E-06,5.88E-06,5.88E-06,0.999976471,5.88E-06
35,8.33E-06,8.33E-06,8.33E-06,0.999966668,8.33E-06
36,6.67E-06,6.67E-06,6.67E-06,6.67E-06,0.999973334
37,7.14E-06,0.99997143,7.14E-06,7.14E-06,7.14E-06
38,1.25E-05,0.999950003,1.25E-05,1.25E-05,1.25E-05
39,5.00E-05,0.99980005,5.00E-05,5.00E-05,5.00E-05
40,0.999900012,2.50E-05,2.50E-05,2.50E-05,2.50E-05
41,0.999920008,2.00E-05,2.00E-05,2.00E-05,2.00E-05
42,0.999963638,9.09E-06,9.09E-06,9.09E-06,9.09E-06
43,0.999955558,1.11E-05,1.11E-05,1.11E-05,1.11E-05
44,2.50E-05,2.50E-05,2.50E-05,0.999900012,2.50E-05
45,1.25E-05,0.999950003,1.25E-05,1.25E-05,1.25E-05
46,5.00E-05,0.99980005,5.00E-05,5.00E-05,5.00E-05
47,5.00E-06,0.999980001,5.00E-06,5.00E-06,5.00E-06
48,1.11E-05,0.999955558,1.11E-05,1.11E-05,1.11E-05
49,2.86E-06,0.999988572,2.86E-06,2.86E-06,2.86E-06
50,1.11E-05,1.11E-05,1.11E-05,0.999955558,1.11E-05
51,0.999900012,2.50E-05,2.50E-05,2.50E-05,2.50E-05
52,0.999955558,1.11E-05,1.11E-05,1.11E-05,1.11E-05
53,0.99980005,5.00E-05,5.00E-05,5.00E-05,5.00E-05
54,2.38E-06,2.38E-06,0.999990476,2.38E-06,2.38E-06
55,2.00E-06,2.00E-06,0.999992,2.00E-06,2.00E-06
56,2.08E-06,2.08E-06,0.999991667,2.08E-06,2.08E-06
57,0.999976471,5.88E-06,5.88E-06,5.88E-06,5.88E-06
58,0.999900012,2.50E-05,2.50E-05,2.50E-05,2.50E-05
59,2.94E-06,2.94E-06,2.94E-06,0.999988235,2.94E-06
60,0.6799904,4.00E-06,4.00E-06,0.3199976,4.00E-06
61,9.09E-06,0.999963638,9.09E-06,9.09E-06,9.09E-06
62,9.09E-06,0.999963638,9.09E-06,9.09E-06,9.09E-06
63,8.33E-06,8.33E-06,0.999966668,8.33E-06,8.33E-06
64,1.11E-05,1.11E-05,0.999955558,1.11E-05,1.11E-05
65,2.78E-06,2.78E-06,2.78E-06,2.78E-06,0.999988889
66,0.999978948,5.26E-06,5.26E-06,5.26E-06,5.26E-06
67,0.499987501,0.499987501,8.33E-06,8.33E-06,8.33E-06
68,8.33E-06,8.33E-06,0.999966668,8.33E-06,8.33E-06
69,0.999900012,2.50E-05,2.50E-05,2.50E-05,2.50E-05
70,5.00E-06,5.00E-06,5.00E-06,0.999980001,5.00E-06
71,0.999963638,9.09E-06,9.09E-06,9.09E-06,9.09E-06
72,5.88E-06,5.88E-06,5.88E-06,0.999976471,5.88E-06
73,8.33E-06,8.33E-06,8.33E-06,0.999966668,8.33E-06
74,6.67E-06,6.67E-06,6.67E-06,6.67E-06,0.999973334
75,0.999900012,2.50E-05,2.50E-05,2.50E-05,2.50E-05
76,0.999900012,2.50E-05,2.50E-05,2.50E-05,2.50E-05
77,2.00E-05,2.00E-05,2.00E-05,0.999920008,2.00E-05
78,0.999920008,2.00E-05,2.00E-05,2.00E-05,2.00E-05
79,0.999920008,2.00E-05,2.00E-05,2.00E-05,2.00E-05
80,0.99980005,5.00E-05,5.00E-05,5.00E-05,5.00E-05
81,0.999900012,2.50E-05,2.50E-05,2.50E-05,2.50E-05
82,0.999866689,3.33E-05,3.33E-05,3.33E-05,3.33E-05
83,5.00E-06,5.00E-06,5.00E-06,0.999980001,5.00E-06
84,0.999987879,3.03E-06,3.03E-06,3.03E-06,3.03E-06
85,2.50E-05,2.50E-05,2.50E-05,0.999900012,2.50E-05
86,1.25E-05,0.999950003,1.25E-05,1.25E-05,1.25E-05
87,0.999900012,2.50E-05,2.50E-05,2.50E-05,2.50E-05
88,0.99980005,5.00E-05,5.00E-05,5.00E-05,5.00E-05
89,9.09E-06,9.09E-06,9.09E-06,0.999963638,9.09E-06
90,2.50E-05,0.999900012,2.50E-05,2.50E-05,2.50E-05
91,1.00E-05,0.999960002,1.00E-05,1.00E-05,1.00E-05
92,1.25E-05,1.25E-05,0.999950003,1.25E-05,1.25E-05
93,5.88E-06,0.999976471,5.88E-06,5.88E-06,5.88E-06
94,0.999933339,1.67E-05,1.67E-05,1.67E-05,1.67E-05
95,0.999933339,1.67E-05,1.67E-05,1.67E-05,1.67E-05
96,0.99980005,5.00E-05,5.00E-05,5.00E-05,5.00E-05
97,0.99980005,5.00E-05,5.00E-05,5.00E-05,5.00E-05
98,0.999866689,3.33E-05,3.33E-05,3.33E-05,3.33E-05
99,2.86E-06,0.999988572,2.86E-06,2.86E-06,2.86E-06
100,0.999900012,2.50E-05,2.50E-05,2.50E-05,2.50E-05
101,1.11E-05,1.11E-05,1.11E-05,0.999955558,1.11E-05
102,2.38E-06,2.38E-06,0.999990476,2.38E-06,2.38E-06
103,2.50E-05,2.50E-05,0.999900012,2.50E-05,2.50E-05
104,0.2,2.00E-06,0.799994,2.00E-06,2.00E-06
105,1.43E-05,0.999942861,1.43E-05,1.43E-05,1.43E-05
106,2.08E-06,2.08E-06,0.999991667,2.08E-06,2.08E-06
107,0.999942861,1.43E-05,1.43E-05,1.43E-05,1.43E-05
108,0.999976471,5.88E-06,5.88E-06,5.88E-06,5.88E-06
109,2.94E-06,2.94E-06,2.94E-06,0.999988235,2.94E-06
110,0.99980005,5.00E-05,5.00E-05,5.00E-05,5.00E-05
111,0.999900012,2.50E-05,2.50E-05,2.50E-05,2.50E-05
112,4.00E-06,4.00E-06,4.00E-06,0.999984,4.00E-06
