,background,1,2,3,4
i...what,3.07E-08,5.13E-08,6.38E-08,0.000603519,1.52E-07
mix,3.07E-08,0.003079952,6.38E-08,6.03E-08,1.52E-07
too!,0.000613694,5.13E-08,6.38E-08,6.03E-08,1.52E-07
beat,0.000613694,5.13E-08,6.38E-08,6.03E-08,1.52E-07
starch,3.07E-08,0.005133219,6.38E-08,6.03E-08,0.045584911
{s040},0.002761517,5.13E-08,6.38E-08,6.03E-08,1.52E-07
instructor,3.07E-08,0.007186487,6.38E-08,6.03E-08,1.52E-07
strach,3.07E-08,0.000513368,6.38E-08,6.03E-08,1.52E-07
hint,0.000306862,5.13E-08,6.38E-08,6.03E-08,1.52E-07
did....but,0.000306862,5.13E-08,6.38E-08,6.03E-08,1.52E-07
haha..were,0.000306862,5.13E-08,6.38E-08,6.03E-08,1.52E-07
imma,0.000306862,5.13E-08,6.38E-08,6.03E-08,1.52E-07
everyone,0.001841021,5.13E-08,6.38E-08,6.03E-08,1.52E-07
weight,0.001227358,0.008726437,6.38E-08,6.03E-08,1.52E-07
dear,3.07E-08,0.000513368,6.38E-08,6.03E-08,1.52E-07
he/she/it,0.000306862,5.13E-08,6.38E-08,6.03E-08,1.52E-07
answers,0.000613694,5.13E-08,6.38E-08,6.03E-08,1.52E-07
was,0.005829835,0.017452822,0.014038602,6.03E-08,0.001519644
opposite.,0.000306862,5.13E-08,6.38E-08,0.007845021,1.52E-07
ok,0.006443498,0.001026685,6.38E-08,0.009051938,1.52E-07
{s063},0.001227358,5.13E-08,6.38E-08,6.03E-08,1.52E-07
saturday,0.000306862,5.13E-08,6.38E-08,6.03E-08,1.52E-07
guys!,0.000613694,5.13E-08,6.38E-08,6.03E-08,1.52E-07
lady,0.000613694,5.13E-08,6.38E-08,6.03E-08,1.52E-07
she[{s034},0.000306862,5.13E-08,6.38E-08,6.03E-08,1.52E-07
alright,0.000613694,5.13E-08,6.38E-08,6.03E-08,1.52E-07
happened,0.004602508,5.13E-08,6.38E-08,6.03E-08,1.52E-07
