text,class
"Ariane, that's awesome. :-)Chiara, it took about 20 hours to create the survey and analyze the results -- I'm sorry, but with our semester starting on Monday we just don't have time to redo it!",instructor
"Last September, with exactly the same course material, we ran a workload survey in week 3. That survey asked how many hours were spent on these tasks: Week 1 lectures Exercise 1 In week 1, Python study with other materials, such as online books Week 2 lectures Exercise 2 Assignment 1 In week 2, Python study with other materials, such as online books The survey also asked how much programming experience people had: no experience written a few small programs or tried to take another programming course but didn't complete it completed an introductory programming course significant programming experience Almost 12,000 people completed the survey. Here are the results: 4176 people have no experience in programming: beginner results 3335 people have a little bit of programming experience: only-a-little-experience results 2681 people have completed a programming course: one-course-taken results 1806 people consider themselves to be experienced programmers: experienced results 11989 people responded: combined results The biggest takeaway for us was just how much of spread there was in hours spent -- it's huge! Add up the hours range for the biggest bars, though, and you come out quite close to the 6-8 hour time estimate. ",instructor
"No need to apologize! The description in the handout for get_seconds says this: The parameter is a number of seconds since midnight. Return the number of seconds that have elapsed since midnight as seen on a clock. (This means that the return value should be in the range 0 to 59, inclusive.)Your code instead returns a number in the range 0-23, because you're calling function to_24_hour_clock, which converts a number of hours to a time on a 24 hour clock (it uses % 24 to do this). Is that a good enough hint? I'm happy to keep going! ",instructor
"Gah, sorry. It's a per-assignment setting and I had neglected to update it for A3.",instructor
"You're right about b! I've fixed it.For c, remember that \ is the escape character for strings, so \' means a single quote.",instructor
"Ah -- on the left, about halfway down, is a link called ""Exercises"". (It really should be called ""Exercise solutions""; I'll ask them to update that.) Click it to see the solutions.",instructor
"The second Anonymous here had a lovely suggestion: work it out on paper first, and think about it in small steps.And you're doing exactly what you should do when you need help: ask on the forums! These forums are a replacement for in-person interaction. Please feel free to ask lots of questions!",instructor
"I've written JetBrains and asked for a license key and they've given us one. This isn't an endorsement for or against their product; Jen and I will continue to use IDLE.The license should only be used for educational tasks. Please check the license agreement (specifically paragraph 4):http://www.jetbrains.com/pycharm/buy/license_classroom.htmlThe license will expire on 31 October 2013.Here is the download link:http://www.jetbrains.com/pycharm/download/And here are the installation instructions:Run PyCharm and follow the Installation Wizard's instructions. To register for use of the software or change your existing registration details, go to Help/Register menu of the software and enter the included below the User Name and License Key(s) into the registration dialog:User Name: Coursera.org===== LICENSE BEGIN =====593426-280820130000329qLmW5A3fQ47NrTmKsTn44MJEzhRb2Ad2yxVELVfX0zD91phZZe0jkc04JpwXe95ekkLczw9r4!IRhboToTc===== LICENSE END =====Hope this helps! I haven't used PyCharm for more than 5 minutes, so please feel free to start a discussion thread on the Course Tools board to help each other.",instructor
"I believe it is. Windows 7 and 8 have Aero Snap built in, which has keyboard shortcuts:http://www.sevenforums.com/software/389-windows-7-aero-snap-keyboard-shortcuts.htmlFor Linux, Compiz is a powerful window manager:http://www.compiz.org",instructor
"I'm sorry, but most of the time the middle is taken up with code and other artefacts.",instructor
